minute,player_id,player_name,team_name,x,y,end_x,end_y,pass_recipient_id,pass_recipient_name,outcome_id,outcome_name
0,5487.0,Antoine Griezmann,France,61.0,40.1,48.0,43.2,10481.0,Aurélien Djani Tchouaméni,,
0,10481.0,Aurélien Djani Tchouaméni,France,49.7,43.6,96.0,1.8,3604.0,Olivier Giroud,75.0,Out
0,29201.0,Nahuel Molina Lucero,Argentina,22.7,80.0,36.0,75.2,7797.0,Rodrigo Javier De Paul,,
0,7797.0,Rodrigo Javier De Paul,Argentina,41.1,73.9,23.2,62.8,20572.0,Cristian Gabriel Romero,,
0,20572.0,Cristian Gabriel Romero,Argentina,24.7,59.4,21.5,32.2,3090.0,Nicolás Hernán Otamendi,,
0,3090.0,Nicolás Hernán Otamendi,Argentina,24.0,27.1,21.7,49.3,20572.0,Cristian Gabriel Romero,,
0,20572.0,Cristian Gabriel Romero,Argentina,22.1,49.8,24.0,27.3,3090.0,Nicolás Hernán Otamendi,,
0,3090.0,Nicolás Hernán Otamendi,Argentina,21.7,24.5,26.6,3.1,5507.0,Nicolás Alejandro Tagliafico,,
0,5507.0,Nicolás Alejandro Tagliafico,Argentina,29.2,2.5,45.6,4.2,27886.0,Alexis Mac Allister,,
1,5507.0,Nicolás Alejandro Tagliafico,Argentina,44.1,3.8,20.8,11.9,3090.0,Nicolás Hernán Otamendi,,
1,3090.0,Nicolás Hernán Otamendi,Argentina,21.7,17.7,19.7,33.3,20572.0,Cristian Gabriel Romero,,
1,20572.0,Cristian Gabriel Romero,Argentina,30.9,42.5,27.9,22.6,3090.0,Nicolás Hernán Otamendi,,
1,3090.0,Nicolás Hernán Otamendi,Argentina,29.8,29.2,27.0,45.9,20572.0,Cristian Gabriel Romero,,
1,20572.0,Cristian Gabriel Romero,Argentina,32.1,54.5,25.9,31.6,3090.0,Nicolás Hernán Otamendi,,
1,3090.0,Nicolás Hernán Otamendi,Argentina,24.7,29.0,5.6,42.3,6909.0,Damián Emiliano Martínez,,
1,6909.0,Damián Emiliano Martínez,Argentina,3.9,43.4,53.1,72.9,,,9.0,Incomplete
1,6704.0,Theo Bernard François Hernández,France,68.5,5.7,72.1,13.4,3026.0,Adrien Rabiot,,
1,3026.0,Adrien Rabiot,France,72.3,13.4,73.6,4.7,6704.0,Theo Bernard François Hernández,,
1,6704.0,Theo Bernard François Hernández,France,73.2,4.0,47.1,7.4,,,77.0,Unknown
1,6704.0,Theo Bernard François Hernández,France,61.2,7.0,44.1,37.4,5485.0,Raphaël Varane,,
2,5485.0,Raphaël Varane,France,53.1,44.9,45.2,67.1,4445.0,Jules Koundé,,
2,4445.0,Jules Koundé,France,43.2,70.3,58.2,77.4,5477.0,Ousmane Dembélé,,
2,5507.0,Nicolás Alejandro Tagliafico,Argentina,72.6,0.1,69.6,7.6,27886.0,Alexis Mac Allister,,
2,27886.0,Alexis Mac Allister,Argentina,67.4,20.7,77.5,36.9,5503.0,Lionel Andrés Messi Cuccittini,,
2,5503.0,Lionel Andrés Messi Cuccittini,Argentina,76.6,35.7,116.2,8.9,2995.0,Ángel Fabián Di María Hernández,,
2,2995.0,Ángel Fabián Di María Hernández,Argentina,116.0,8.9,104.9,49.3,,,9.0,Incomplete
2,7797.0,Rodrigo Javier De Paul,Argentina,93.1,53.2,100.4,57.7,5503.0,Lionel Andrés Messi Cuccittini,,
2,5503.0,Lionel Andrés Messi Cuccittini,Argentina,99.3,57.3,96.7,49.8,7797.0,Rodrigo Javier De Paul,,
2,7797.0,Rodrigo Javier De Paul,Argentina,96.7,49.8,110.9,44.6,29560.0,Julián Álvarez,76.0,Pass Offside
3,3099.0,Hugo Lloris,France,9.2,35.5,67.8,60.7,3604.0,Olivier Giroud,,
3,3604.0,Olivier Giroud,France,67.8,60.7,75.5,63.3,5487.0,Antoine Griezmann,,
3,27886.0,Alexis Mac Allister,Argentina,48.9,15.4,39.2,16.6,3090.0,Nicolás Hernán Otamendi,,
3,3090.0,Nicolás Hernán Otamendi,Argentina,37.4,19.2,26.0,29.3,20572.0,Cristian Gabriel Romero,,
3,20572.0,Cristian Gabriel Romero,Argentina,27.4,29.9,64.2,43.6,5503.0,Lionel Andrés Messi Cuccittini,77.0,Unknown
3,7797.0,Rodrigo Javier De Paul,Argentina,64.2,43.6,57.2,26.7,3090.0,Nicolás Hernán Otamendi,,
3,3090.0,Nicolás Hernán Otamendi,Argentina,57.2,26.7,54.4,37.8,38718.0,Enzo Fernandez,,
3,38718.0,Enzo Fernandez,Argentina,54.8,37.8,56.5,60.5,20572.0,Cristian Gabriel Romero,,
3,20572.0,Cristian Gabriel Romero,Argentina,56.1,61.3,67.9,73.5,29201.0,Nahuel Molina Lucero,,
3,29201.0,Nahuel Molina Lucero,Argentina,68.9,74.4,79.0,59.8,5503.0,Lionel Andrés Messi Cuccittini,9.0,Incomplete
3,3026.0,Adrien Rabiot,France,47.5,14.5,50.5,20.7,,,9.0,Incomplete
3,5503.0,Lionel Andrés Messi Cuccittini,Argentina,67.9,59.0,49.0,60.3,20572.0,Cristian Gabriel Romero,,
3,20572.0,Cristian Gabriel Romero,Argentina,50.5,58.1,89.3,3.6,2995.0,Ángel Fabián Di María Hernández,,
4,2995.0,Ángel Fabián Di María Hernández,Argentina,89.5,3.4,82.4,7.4,5507.0,Nicolás Alejandro Tagliafico,,
